date,species,trap,addressnumberandstreet,latitude,longitude,nummosquitos,wnvpresent
2007-05-29,S/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,1,0
2007-05-29,NS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,1,0
2007-05-29,NS,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,1,0
2007-05-29,S/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,1,0
2007-05-29,NS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,4,0
2007-05-29,NS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,2,0
2007-05-29,NS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,1,0
2007-05-29,S/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,1,0
2007-05-29,NS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,2,0
2007-05-29,NS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,1,0
2007-05-29,S/RESTUANS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,1,0
2007-05-29,S/RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,2,0
2007-05-29,NS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,3,0
2007-05-29,S/RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,1,0
2007-05-29,NS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,1,0
2007-05-29,NS,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,1,0
2007-05-29,NS,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,3,0
2007-05-29,NS,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,5,0
2007-05-29,S,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,1,0
2007-05-29,S/RESTUANS,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,1,0
2007-05-29,NS,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,2,0
2007-05-29,S/RESTUANS,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,1,0
2007-05-29,S/RESTUANS,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,1,0
2007-05-29,NS,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,1,0
2007-05-29,NS,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,1,0
2007-06-05,S/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,3,0
2007-06-05,NS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,5,0
2007-06-05,S,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,1,0
2007-06-05,S/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,1,0
2007-06-05,NS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,2,0
2007-06-05,S/RESTUANS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,1,0
2007-06-05,NS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,2,0
2007-06-05,S,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,1,0
2007-06-05,NS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,1,0
2007-06-05,S/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,1,0
2007-06-05,NS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,1,0
2007-06-05,S,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,2,0
2007-06-05,NS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,2,0
2007-06-05,S/RESTUANS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,1,0
2007-06-05,NS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,1,0
2007-06-05,NS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,3,0
2007-06-05,NS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,4,0
2007-06-05,S/RESTUANS,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,2,0
2007-06-05,S/RESTUANS,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,1,0
2007-06-05,NS,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,1,0
2007-06-05,S,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,1,0
2007-06-05,S/RESTUANS,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,2,0
2007-06-05,NS,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,9,0
2007-06-05,NS,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,3,0
2007-06-05,NS,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,1,0
2007-06-05,NS,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,2,0
